sentence,frame,word,vowel,vowel_ipa,c2,place,voicing,num_syl
I'll say 'teep' this Thursday,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono
I'll say 'teeb' this Thursday,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono
I'll say 'terp' this Thursday,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono
I'll say 'terb' this Thursday,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono
I'll say 'tarp' this Thursday,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono
I'll say 'tarb' this Thursday,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono
I'll say 'teek' this Thursday,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono
I'll say 'teeg' this Thursday,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono
I'll say 'terk' this Thursday,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono
I'll say 'terg' this Thursday,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono
I'll say 'tark' this Thursday,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono
I'll say 'targ' this Thursday,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono
I'll say 'teepus' this Thursday,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di
I'll say 'teebus' this Thursday,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di
I'll say 'terpus' this Thursday,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di
I'll say 'terbus' this Thursday,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di
I'll say 'tarpus' this Thursday,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di
I'll say 'tarbus' this Thursday,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di
I'll say 'teekus' this Thursday,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di
I'll say 'teegus' this Thursday,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di
I'll say 'terkus' this Thursday,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di
I'll say 'tergus' this Thursday,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di
I'll say 'tarkus' this Thursday,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di
I'll say 'targus' this Thursday,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di
You'll say 'teep' this Monday,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono
You'll say 'teeb' this Monday,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono
You'll say 'terp' this Monday,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono
You'll say 'terb' this Monday,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono
You'll say 'tarp' this Monday,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono
You'll say 'tarb' this Monday,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono
You'll say 'teek' this Monday,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono
You'll say 'teeg' this Monday,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono
You'll say 'terk' this Monday,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono
You'll say 'terg' this Monday,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono
You'll say 'tark' this Monday,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono
You'll say 'targ' this Monday,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono
You'll say 'teepus' this Monday,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di
You'll say 'teebus' this Monday,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di
You'll say 'terpus' this Monday,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di
You'll say 'terbus' this Monday,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di
You'll say 'tarpus' this Monday,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di
You'll say 'tarbus' this Monday,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di
You'll say 'teekus' this Monday,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di
You'll say 'teegus' this Monday,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di
You'll say 'terkus' this Monday,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di
You'll say 'tergus' this Monday,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di
You'll say 'tarkus' this Monday,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di
You'll say 'targus' this Monday,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di
She'll say 'teep' this Sunday,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono
She'll say 'teeb' this Sunday,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono
She'll say 'terp' this Sunday,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono
She'll say 'terb' this Sunday,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono
She'll say 'tarb' this Sunday,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono
She'll say 'teek' this Sunday,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono
She'll say 'teeg' this Sunday,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono
She'll say 'terk' this Sunday,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono
She'll say 'terg' this Sunday,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono
She'll say 'tark' this Sunday,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono
She'll say 'targ' this Sunday,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono
She'll say 'teepus' this Sunday,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di
She'll say 'teebus' this Sunday,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di
She'll say 'terpus' this Sunday,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di
She'll say 'terbus' this Sunday,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di
She'll say 'tarpus' this Sunday,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di
She'll say 'tarbus' this Sunday,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di
She'll say 'teegus' this Sunday,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di
She'll say 'terkus' this Sunday,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di
She'll say 'tergus' this Sunday,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di
She'll say 'tarkus' this Sunday,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di
She'll say 'targus' this Sunday,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di
We'll say 'teep' this Friday,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono
We'll say 'teeb' this Friday,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono
We'll say 'terp' this Friday,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono
We'll say 'terb' this Friday,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono
We'll say 'tarb' this Friday,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono
We'll say 'teek' this Friday,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono
We'll say 'teeg' this Friday,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono
We'll say 'terk' this Friday,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono
We'll say 'terg' this Friday,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono
We'll say 'tark' this Friday,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono
We'll say 'targ' this Friday,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono
We'll say 'teepus' this Friday,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di
We'll say 'teebus' this Friday,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di
We'll say 'terpus' this Friday,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di
We'll say 'terbus' this Friday,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di
We'll say 'tarpus' this Friday,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di
We'll say 'teekus' this Friday,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di
We'll say 'teegus' this Friday,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di
We'll say 'terkus' this Friday,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di
We'll say 'tergus' this Friday,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di
We'll say 'tarkus' this Friday,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di
We'll say 'targus' this Friday,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di
They'll say 'teep' this Tuesday,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono
They'll say 'teeb' this Tuesday,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono
They'll say 'terp' this Tuesday,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono
They'll say 'terb' this Tuesday,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono
They'll say 'tarp' this Tuesday,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono
They'll say 'tarb' this Tuesday,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono
They'll say 'teeg' this Tuesday,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono
They'll say 'terk' this Tuesday,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono
They'll say 'terg' this Tuesday,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono
They'll say 'tark' this Tuesday,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono
They'll say 'targ' this Tuesday,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di
They'll say 'teebus' this Tuesday,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di
They'll say 'terpus' this Tuesday,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di
They'll say 'terbus' this Tuesday,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di
They'll say 'tarpus' this Tuesday,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di
They'll say 'tarbus' this Tuesday,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di
They'll say 'teekus' this Tuesday,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di
They'll say 'teegus' this Tuesday,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di
They'll say 'terkus' this Tuesday,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di
They'll say 'tergus' this Tuesday,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di
They'll say 'targus' this Tuesday,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di
